Golf club # en # 1
Mikroskop # de # 2
Microscoop # nl # 2

Treasure chest # en # 2
Schatztruhe # de # 2
Schatkist # nl # 2

Toothbrush # en # 2
Zahnbürste # de # 2
Tandenborstel # nl # 2

Chainsaw # en # 2
Kettensäge # de # 2
Kettingzaag # nl # 2

Blender # en # 3
Mixgerät # de # 3
BLender # nl # 3

Fire extinguisher # en # 3
Feuerlöschgerät # de # 3
Brandblusser # nl # 3

Head phones # en # 3
Kopfhörer # de # 3
Koptelefoon # nl # 3

Drums # en # 3
Schlagzeug # de # 3
Drumstel # nl # 3

Watch # en # 3
Uhr # de # 3
Horloge # nl # 3

Screwdriver # en # 3
Schraubendreher # de # 3
Schroevendraaier # nl # 3

Laser gun # en # 3
Laserkanone # de # 3
Laserkanon # nl # 3

light bulb # en # 3
Glühbirne # de # 3
Gloeilamp # nl # 3

Blackboard # en # 3
Tafel # de # 3
Schoolbord # nl # 3

Stethoscope # en # 3
Stethoskop # de # 3
Stethoscoop # nl # 3

Thermos flask # en # 3
Thermoskanne # de # 3
Thermoskan # nl # 3

Monocle # en # 3
Monokel # de # 3
Monocle # nl # 3

Syringe # en # 3
Spritze # de # 3
Spuit # nl # 3

Binoculars # en # 3
Fernglas # de # 3
Verrekijker # nl # 3

Buoy # en # 3
Boje # de # 3
Boei # nl # 3
